key,context,en,de,es,fr,pt,it,nl,pl,ru,ja,zh,pt_BR,bg,cs,da,et,fi,el,hu,lv,lt,ro,sk,sl,sv,hi,af,sq,am,ar,hy,az,bn,eu,be,my,ca,hr,is,id,kn,kk,km,ko,ky,lo,mk,ms,ml,mn,ne,no,fa,pa,rm,si,ta,te,th,tr,uk,ur,vi,zu,fil,gl,ka,he,sr,gu,sw
read_only_event,,This event can’t be edited,Dieses Termin kann nicht bearbeitet werden,Este evento no puede ser editado,Cet événement ne peut pas être modifié,Este evento não pode ser editado,Questo evento non può essere modificato,Dit evenement kan niet worden bewerkt,To wydarzenie nie może zostać edytowane,Это событие нельзя редактировать,このイベントは編集できません,此事件无法编辑。,Este evento não pode ser editado.,Това събитие не може да бъде редактирано.,Tato událost nemůže být upravena.,Denne begivenhed kan ikke redigeres,Seda sündmust ei saa muuta,Tätä tapahtumaa ei voida muokata.,Αυτό το γεγονός δεν μπορεί να επεξεργαστεί,Ez az esemény nem szerkeszthető,Šis notikums nevar tikt rediģēts,Šio įvykio redaguoti negalima.,Acest eveniment nu poate fi editat.,Táto udalosť nemôže byť upravená,Ta dogodek ni mogoče urejati.,Det går inte att redigera det här evenemanget,यह इवेंट संपादित नहीं किया जा सकता,Hierdie gebeurtenis kan nie geredigeer word nie,Ky ngjarje nuk mund të redaktohet.,ይህ ክስተት አይስተካከልም።,لا يمكن تعديل هذا الحدث,Այս միջոցառումը չի կարող խմբագրվել,Bu tədbir redaktə edilə bilməz.,এই ঘটনা সম্পাদনা করা যাবে না,Ezin daitezke ekitaldiaren aldaketak egin,Гэта падзея не можа быць адрэдагавана.,ဒီပွဲကို ပြင်ဆင်လို့မရပါ။,Aquest esdeveniment no es pot editar.,Ovaj događaj nije moguće urediti.,Þessi atburður getur ekki verið breytt,Acara ini tidak dapat diedit,ಈ ಘಟನೆಯನ್ನು ಸಂಪಾದಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ,Бұл оқиға өзгертілмейді,ព្រឹត្តិការនេះមិនអាចកែបានទេ។,이 이벤트는 수정할 수 없습니다.,Бул иш-чара түзөтүлө албайт,ເຫດການນີ້ບໍ່ສາມາດແກ້ໄຂໄດ້,Овој настан не може да се уредува,Acara ini tidak boleh diedit,ഈ ഇവന്റ് എഡിറ്റ് ചെയ്യാനാകില്ല,Энэ үйл явдлыг засварлах боломжгүй,यो घटना सम्पादन गर्न सकिँदैन।,Denne hendelsen kan ikke redigeres,این رویداد قابل ویرایش نیست,ਇਹ ਘਟਨਾ ਨੂੰ ਸੋਧਿਆ ਨਹੀਂ ਜਾ ਸਕਦਾ।,Quest eveniment na po betg vegnir modifitgà,මෙම සිදුවීම සංස්කරණය කළ නොහැක.,இந்த நிகழ்வை திருத்த முடியாது,ఈ ఈవెంట్‌ను సవరించలేము,ไม่สามารถแก้ไขเหตุการณ์นี้ได้,Bu etkinlik düzenlenemez,Ця подія не може бути відредагована,یہ واقعہ ترمیم نہیں کیا جا سکتا,Sự kiện này không thể chỉnh sửa,Le mpihlokaniso ayikwazi ukuhlelwa,Hindi maaaring i-edit ang event na ito.,Este evento non se pode editar,ეს ღონისძიება ვერ შეიცვლება,אין אפשרות לערוך אירוע זה,Ovaj događaj ne može biti izmenjen.,આ ઇવેન્ટને સંપાદિત કરી શકાતું નથી,Tukio hili haliwezi kuhaririwa
add_event,,New event,Neuer Termin,Nuevo evento,Nouveau rendez-vous,Novo Compromisso,Nuovo appuntamento,Nieuwe afspraak,Nowe spotkanie,Новая встреча,新しい予定,新建日程,Novo Compromisso,Нова среща,Nový termín,Ny aftale,Uus kohtumine,Uusi tapaaminen,Νέο ραντεβού,Új időpont,Jauns notikums,Naujas susitikimas,Eveniment Nou,Nový termín,Nov termin,Nytt möte,नई नियुक्ति,Nuwe Afspraak,Termin i Ri,አዲስ ቀን,موعد جديد,Նոր հանդիպում,Yeni Tədbir,নতুন অ্যাপয়েন্টমেন্ট,Hitzordu berria,Новая сустрэча,အချိန်ခ်ိန်း အသစ်,Nova cita,Novi termin,Ný viðburður,Janji Baru,ಹೊಸ ನೇಮಕಾತಿ,Жаңа кездесу,ការកត់ត្រាថ្មី,새 일정,Жаңы жолугушуу,ការបញ្ចូលថ្មី,Нов термин,Janji Temu Baru,പുതിയ നിശ്ചയം,Шинэ уулзалт,नयाँ बैठक,Ny avtale,قرار جدید,ਨਵੀਂ ਮੀਟਿੰਗ,Nov termin,නව අවස්ථාව,புதிய நிகழ்வு,కొత్త అపాయింట్మెంట్,นัดหมายใหม่,Yeni Randevu,Нова подія,نئی تقرری,Cuộc hẹn mới,Umhlangano Omusha,Bagong Appointment,Novo evento,ახალი შეხვედრა,תור חדש,Novi termin,નવો નિયુક્તિ,Mkutano Mpya
read_only,Read-only calendar event.,Read-only,Schreibgeschützt,Solo lectura,Lecture seule,Somente leitura,Sola lettura,Alleen-lezen,Tylko do odczytu,Только для чтения,読み取り専用,只读,Somente leitura,Само за четене,Pouze pro čtení,Skrivebeskyttet,Ainult lugemiseks,Vain luku,Μόνο για ανάγνωση,Csak olvasható,Tikai lasāms,Tik skaitymui,Doar citire,Len na čítanie,Samo za branje,Skrivskyddad,सिर्फ़ पढ़ने योग्य,Slegs-lees,Vetëm për lexim,እንባቢ ብቻ,قراءة فقط,Միայն կարդալյին,Yalnız oxumaq,শুধুমাত্র-পঠনযোগ্য,Irakurketa-soila,Толькі для чытання,ဖတ်ရန်သာ,Només de lectura,Samo za čitanje,Lesanlegt μόνο,Hanya-baca,ಓದು-ಮಾತ್ರ,Тек оқу,មើល-តែ,읽기 전용,Окуу үчүн гана,អាន-តែ,Само за читање,Baca sahaja,വായിക്കുക മാത്രമുള്ള,Зөвхөн унших,पढ्न-भरिएको,Skrivebeskyttet,فقط خواندنی,ਕੇਵਲ-ਪাঠਯ,Mo solamente,කියවිය හැකි පමණි,மட்டுமே படிக்கக் கூடிய,కేవలం చదవు,อ่านอย่างเดียว,Salt okunur,Тільки для читання,صرف پڑھنے کے لئے,Chỉ đọc,Ukuhlolwa kuphela,Basahin-lamang,Só de lectura,მხოლოდ წაკითხვისთვის,קריאה בלבד,Samo za čitanje,વાંચવા માટેનું,Soma tu
edit_event,,Edit event,Termin bearbeiten,Editar evento,Modifier l'événement,Editar evento,Modifica evento,Evenement bewerken,Edytuj wydarzenie,Редактировать событие,イベントを編集する,编辑事件,Editar evento,Редактиране на събитие,Upravit událost,Rediger begivenhed,Redigeeri sündmust,Muokkaa tapahtumaa,Επεξεργασία εκδήλωσης,Esemény szerkesztése,Rediģēt notikumu,Redaguoti įvykį,Editează evenimentul,Upraviť udalosť,Uredi dogodek,Redigera händelse,इवेंट संपादित करें,Wysig gebeurtenis,Redakto ngjarjen,ክርክር ክግኝ,تعديل الحدث,Խմբագրել միջոցառումը,Tədbiri redaktə et,ইভেন্ট সম্পাদনা করুন,Ekitaldia editatu,Рэдагаваць падзею,ပွဲပြင်ဆင်ရန်,Edita l'esdeveniment,Uredi događaj,Breyta atburði,Sunting acara,ಈವೆಂಟ್ ಸಂಪಾದಿಸಿ,Оқиғаны өңдеу,កែតម្រូវព្រឹត្តិការណ៍,이벤트 수정,Окуяны оңдоо,ແກ້ໄຂເຫດການ,Уреди настан,Sunting acara,ഇവന്റ് പെടുത്തുക,Тэмдэглэл засварлах,घटना सम्पादन गर्नुहोस्,Rediger hendelse,ویرایش رویداد,ਸੰਪਾਦਨ ਕਾਰਜ,Modifit l'occurrenza,ඝට්ටු සංශෝධනය,நிகழ்வை திருத்துக,ఈవెంట్‌ని సవరించు,แก้ไขกิจกรรม,Etkinliği düzenle,Редагувати подію,واقعہ میں ترمیم کریں,Chỉnh sửa sự kiện,Hlela umcimbi,I-edit ang kaganapan,Editar evento,ღონისძიების რედაქტირება,ערוך אירוע,Izmeni događaj,ઇવેન્ટ સંપાદિત કરો,Hariri tukio
delete,,Delete,Löschen,Eliminar,Supprimer,Excluir,Elimina,Verwijderen,Usuń,Удалить,削除,删除,Excluir,Изтриване,Odstranit,Slet,Kustuta,Poista,Διαγραφή,Törlés,Dzēst,Ištrinti,Ștergeți,Vymazať,Izbriši,Radera,हटाएं,Verwyder,Fshij,ሰርዝ,حذف,Ջնջել,Siləcək,মুছে ফেলুন,Ezabatu,Выдаліць,ဖျက်ပစ်မည်,Esborrar,Izbriši,Eyða,Hapus,ಅಳಿಸಿ,Жою,លុប,삭제하기,Өчүрүү,ລົບອອກ,Избриши,Padam,ഇല്ലാതാക്കുക,Устгах,मेटाउनुहोस्,Slett,حذف کردن,ਮਿਟਾਓ,Stizzar,මකන්න,நீக்குக,తొలగించు,ลบ,Silmek,Видалити,حذف کریں,Xóa,Susa,Tanggalin,Eliminar,წაშლა,מחק,Obriši,કાઢી નાખો,Futa
Save,,Save,Speichern,Guardar,Enregistrer,Salvar,Salva,Opslaan,Zapisz,Сохранить,保存,保存,Salvar,Запази,Uložit,Gem,Salvesta,Tallenna,Αποθήκευση,Mentés,Saglabāt,Išsaugoti,Salvează,Uložiť,Shrani,Spara,सहेजें,Stoor,Ruaj,አስቀምጥ,حفظ,Պահպանել,Saxla,সংরক্ষণ করুন,Gorde,Захаваць,သိမ်းဆည်းပါ။,Desa,Spremi,Vista,Simpan,ಉಳಿಸಿ,Сақтау,រក្សាទុក,저장하기,Сактоо,ບັນທຶກ,Зачувај,Simpan,സംരക്ഷിക്കുക,Хадгалах,बचत गर्नुहोस्,Lagre,ذخیره کردن,ਸੰਭਾਲੋ,Salveir,සුරකින්න,சேமி்,సేవ్ చేయి,บันทึก,Kaydet,Зберегти,محفوظ کریں,Lưu,Gcina,I-save,Gardar,შეინახეთ,שמור,Sačuvaj,સાચવો,Hifadhi
event_title,,Title,Titel,Título,Titre,Título,Titolo,Titel,Tytuł,Название,タイトル,标题,Título,Заглавие,Název,Titel,Pealkiri,Otsikko,Τίτλος,Cím,Nosaukums,Pavadinimas,Titlu,Názov,Naslov,Titel,शीर्षक,Titel,Titulli,ርዕስ,عنوان,Վերնագիր,Başlıq,শিরোনাম,Izenburua,Назва,ခေါင်းစဥ်,Títol,Naslov,Titill,Judul,ಶೀರ್ಷಿಕೆ,Тақырып,ចំណងជើង,제목,Аталышы,ຫົວຂໍ້,Наслов,Tajuk,ശീർഷകം,Гарчиг,शीर्षक,Tittel,عنوان,ਸ਼ੀਰਸ਼ਕ,Titel,ශීර්ෂය,தலைப்பு,శీర్షికా,หัวข้อ,Başlık,Назва,عنوان,Tiêu đề,Isihloko,Pamagat,Título,სათაური,כותרת,Naslov,શીર્ષક,Kichwa cha Habari
event_description,,Descripition,Beschreibung,Descripción,Description,Descrição,Descrizione,Beschrijving,Opis,Описание,説明,描述,Descrição,Описание,Popis,Beskrivelse,Kirjeldus,Kuvaus,Περιγραφή,Leírás,Apraksts,Aprašymas,Descriere,Popis,Opis,Beskrivning,विवरण,Beskrywing,Përshkrimi,መግለጫ,الوصف,Նկարագրություն,Təsvir,বিবরণ,Deskribapena,Апісанне,ဖော်ပြချက်,Descripció,Opis,Lýsing,Deskripsi,ವಿವರಣೆ,Сипаттама,ការពិពណ៌នា,설명,Сүрөттөлүш,ລາຍລະອຽດ,Опис,Keterangan,വിവരണം,Тайлбар,विवरण,Beskrivelse,توضیحات,ਵੇਰਵਾ,Descripziun,විස්තරය,விளக்கம்,వివరణలు,คำอธิบาย,Açıklama,Опис,تفصیل,Mô tả,Incazelo,Paglalarawan,Descrición,აღწერა,תיאור,Opis,વર્ણન,Maelezo
all_day,,All-day,Ganztägig,Todo el día,Toute la journée,O dia inteiro,Tutto il giorno,Hele dag,Cały dzień,Весь день,終日,全天,O dia todo,Целодневен,Celodenní,Hele dagen,Kogu päev,Koko päivän ajan,Ολοήμερο,Egész napos,Visu dienu,Visą dieną,Toată ziua,Celodenné,Celodnevni,Heldag,पूरे दिन,Heeldag,Gjithë ditën,ቀኑ ቀኑን ቀይሕ አድምጡ,طوال اليوم,Ամբողջ օրը,Bütün gün,সারাদিন,Egun osoan,Увесь дзень,တနေကုန်,Tot el dia,Cijeli dan,Allan daginn,Sepanjang hari,ಮೂಲಕಂದಾಯ,Тәулік бойы,ពេញមួយថ្ងៃ,하루 종일,Күндүн баары,ທັງມື້,Цел ден,Sepanjang hari,മുഴുവൻ ദിനം,Бүтэн өдөр,पूरा दिन,Hele dagen,تمام روز,ਸਾਰਾ ਦਿਨ,Tut il di,සියලු දින:,நாள் முழுவதும்,మొత్తం రోజు,ตลอดวัน,Tüm gün,Весь день,پوری دن,Cả ngày,Usuku lonke,Buong araw,Todo o día,მთელდღიანი,כל היום,Ceo dan,સમગ્ર દિવસ,Siku nzima
event_begin,,Begin,Anfang,Comenzar,Commencer,Começar,Inizia,Start,Zacznij,Начало,開始,开始,Começar,Започни,Začátek,Start,Algus,Alkaa,Έναρξη,Kezdés,Sākt,Pradėti,Începeți,Začiatok,Začetek,Starta,शुरू करें,Begin,Fillo,ጀምር,ابدأ,Սկիզբ,Başlayın,শুরু করুন,Hasi,Пачатак,စတင်ပါ။,Començar,Početak,Byrja,Mulai,ಪ್ರಾರಂಭಿಸಿ,Бастау,ចាប់ផ្តើម,시작하다,Баштоо,ເລີ່ມຕົ້ນ,Почеток,Mulakan,തുടക്കം,Эхлэх,सुरु गर्नुहोस्,Start,شروع,ਸ਼ੁਰੂ ਕਰੋ,Cumenzar,ආරම්භය,தொடக்கம்,ప్రారంభం,เริ่มต้น,Başlangıç,Початок,شروع کریں,Bắt đầu,Qala,Simulan,Comezar,დაწყება,התחל,Početak,શરૂ કરો,Anza
